Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Air Raid,2600,1981.0,Action,0.72,0.04,0.0,0.01,,,
Boxing,2600,1980.0,Fighting,0.72,0.04,0.0,0.01,,,
Crystal Castles,2600,1983.0,Action,0.72,0.04,0.0,0.01,,,
Berzerk,2600,1981.0,Shooter,0.68,0.04,0.0,0.01,,,
Kangaroo,2600,1982.0,Platform,0.67,0.04,0.0,0.01,,,
King Kong,2600,1981.0,Action,0.65,0.04,0.0,0.01,,,
Adventures of Tron,2600,1981.0,Action,0.63,0.03,0.0,0.01,,,
Keystone Kapers,2600,1982.0,Action,0.62,0.04,0.0,0.01,,,
Kung-Fu Master,2600,1987.0,Action,0.6,0.04,0.0,0.01,,,
X-Man,2600,1982.0,Action,0.58,0.04,0.0,0.01,,,
Battlezone,2600,1982.0,Shooter,0.58,0.03,0.0,0.01,,,
Halloween,2600,1982.0,Action,0.58,0.03,0.0,0.01,,,
BurgerTime,2600,1981.0,Puzzle,0.55,0.03,0.0,0.01,,,
Smurf: Rescue In Gargamel's Castle,2600,1981.0,Action,0.55,0.03,0.0,0.01,,,
Q*bert,2600,1982.0,Puzzle,0.55,0.03,0.0,0.01,,,
The Activision Decathlon,2600,1982.0,Sports,0.52,0.03,0.0,0.01,,,
Action Force,2600,1982.0,Action,0.5,0.03,0.0,0.01,,,
Popeye,2600,1982.0,Platform,0.5,0.03,0.0,0.01,,,
Fishing Derby,2600,,Sports,0.48,0.03,0.0,0.01,,,
River Raid II,2600,1988.0,Shooter,0.47,0.03,0.0,0.01,,,
Midnight Magic,2600,1983.0,Action,0.47,0.03,0.0,0.01,,,
Chopper Command,2600,1982.0,Shooter,0.47,0.03,0.0,0.01,,,
RealSports Tennis,2600,1982.0,Sports,0.46,0.03,0.0,0.01,,,
Raiders of the Lost Ark,2600,1981.0,Action,0.46,0.03,0.0,0.01,,,
Gauntlet,2600,1982.0,Action,0.46,0.03,0.0,0.01,,,
Ice Hockey,2600,1980.0,Sports,0.46,0.03,0.0,0.01,,,
Millipede,2600,1983.0,Shooter,0.45,0.03,0.0,0.01,,,
Grand Prix,2600,1981.0,Racing,0.45,0.03,0.0,0.0,,,
Double Dragon,2600,1989.0,Action,0.45,0.02,0.0,0.01,,,
Karate,2600,,Fighting,0.44,0.03,0.0,0.0,,,
Commando,2600,1987.0,Action,0.44,0.02,0.0,0.0,,,
Circus Atari,2600,,Action,0.43,0.03,0.0,0.0,,,
Gremlins,2600,1983.0,Action,0.43,0.03,0.0,0.0,,,
Ghostbusters,2600,1985.0,Puzzle,0.42,0.03,0.0,0.0,,,
Phoenix,2600,1981.0,Simulation,0.42,0.02,0.0,0.0,,,
Maze Craze: A Game of Cops 'n Robbers,2600,,Action,0.42,0.02,0.0,0.0,,,
Defender II,2600,1987.0,Shooter,0.42,0.02,0.0,0.0,,,
Jawbreaker,2600,1981.0,Action,0.42,0.03,0.0,0.0,,,
Super Breakout,2600,,Puzzle,0.41,0.03,0.0,0.0,,,
Barnstorming,2600,1981.0,Action,0.4,0.02,0.0,0.0,,,
Pengo,2600,1983.0,Adventure,0.38,0.02,0.0,0.0,,,
Mouse Trap,2600,1981.0,Action,0.38,0.02,0.0,0.0,,,
Congo Bongo,2600,1982.0,Action,0.37,0.02,0.0,0.0,,,
Bump 'n' Jump,2600,1982.0,Racing,0.37,0.02,0.0,0.0,,,
Laser Blast,2600,1981.0,Action,0.37,0.02,0.0,0.0,,,
Airlock,2600,1981.0,Action,0.36,0.02,0.0,0.0,,,
Hangman,2600,,Puzzle,0.35,0.02,0.0,0.0,,,
Gravitar,2600,1982.0,Action,0.35,0.02,0.0,0.0,,,
Solaris,2600,1986.0,Shooter,0.35,0.02,0.0,0.0,,,
Dragonfire,2600,1981.0,Action,0.35,0.02,0.0,0.0,,,
Frogs And Flies,2600,1981.0,Action,0.33,0.02,0.0,0.0,,,
Freeway,2600,1980.0,Action,0.32,0.02,0.0,0.0,,,
Frostbite,2600,1983.0,Action,0.32,0.02,0.0,0.0,,,
Alien's Return,2600,1982.0,Action,0.32,0.02,0.0,0.0,,,
Fantastic Voyage,2600,1981.0,Action,0.32,0.02,0.0,0.0,,,
Bank Heist,2600,1982.0,Action,0.32,0.02,0.0,0.0,,,
Carnival,2600,1981.0,Shooter,0.32,0.02,0.0,0.0,,,
Frogger II: Threeedeep!,2600,1983.0,Action,0.31,0.02,0.0,0.0,,,
Fireball,2600,1981.0,Action,0.3,0.02,0.0,0.0,,,
Dragster,2600,,Racing,0.3,0.02,0.0,0.0,,,
Frankenstein's Monster,2600,1982.0,Action,0.3,0.02,0.0,0.0,,,
Mountain King,2600,1982.0,Action,0.29,0.02,0.0,0.0,,,
Slot Machine,2600,,Action,0.29,0.02,0.0,0.0,,,
Astroblast,2600,1981.0,Action,0.29,0.02,0.0,0.0,,,
RealSports Boxing,2600,1986.0,Sports,0.28,0.02,0.0,0.0,,,
Dolphin,2600,1983.0,Action,0.27,0.02,0.0,0.0,,,
Fast Food,2600,1981.0,Action,0.27,0.02,0.0,0.0,,,
Polaris,2600,1982.0,Action,0.26,0.02,0.0,0.0,,,
Mr. Do!,2600,1982.0,Action,0.26,0.02,0.0,0.0,,,
Indy 500,2600,,Racing,0.26,0.01,0.0,0.0,,,
Beamrider,2600,1984.0,Racing,0.26,0.01,0.0,0.0,,,
Flag Capture,2600,,Action,0.25,0.02,0.0,0.0,,,
Bridge,2600,1980.0,Misc,0.25,0.02,0.0,0.0,,,
RealSports Football,2600,1981.0,Sports,0.24,0.01,0.0,0.0,,,
Desert Falcon,2600,1987.0,Shooter,0.24,0.01,0.0,0.0,,,
Porky's,2600,1982.0,Action,0.23,0.01,0.0,0.0,,,
Front Line,2600,1981.0,Action,0.22,0.01,0.0,0.0,,,
Checkers,2600,1980.0,Misc,0.22,0.01,0.0,0.0,,,
Rampage,2600,1988.0,Action,0.22,0.01,0.0,0.0,,,
Dark Cavern,2600,1981.0,Shooter,0.22,0.01,0.0,0.0,,,
Deadly Duck,2600,1981.0,Shooter,0.21,0.01,0.0,0.0,,,
Assault,2600,1982.0,Action,0.21,0.01,0.0,0.0,,,
Reactor,2600,1981.0,Action,0.21,0.01,0.0,0.0,,,
Crazy Climber,2600,1981.0,Action,0.21,0.01,0.0,0.0,,,
Ghostbusters II,2600,,Action,0.2,0.01,0.0,0.0,,,
Breakaway IV,2600,,Puzzle,0.2,0.01,0.0,0.0,,,
RealSports Baseball,2600,1981.0,Sports,0.2,0.01,0.0,0.0,,,
International Soccer,2600,1981.0,Sports,0.18,0.01,0.0,0.0,,,
Mr. Do!'s Castle,2600,1983.0,Action,0.15,0.01,0.0,0.0,,,
Death Trap,2600,1982.0,Action,0.15,0.01,0.0,0.0,,,
Armor Ambush,2600,1981.0,Action,0.15,0.01,0.0,0.0,,,
Pressure Cooker,2600,1982.0,Action,0.14,0.01,0.0,0.0,,,
Home Run,2600,,Sports,0.14,0.01,0.0,0.0,,,
Klax,2600,1989.0,Puzzle,0.14,0.01,0.0,0.0,,,
Krull,2600,1982.0,Action,0.13,0.01,0.0,0.0,,,
RealSports Volleyball,2600,1981.0,Sports,0.12,0.01,0.0,0.0,,,
Super Football,2600,1987.0,Sports,0.07,0.0,0.0,0.0,,,
Super Baseball,2600,1987.0,Sports,0.07,0.0,0.0,0.0,,,
Policenauts,3DO,1995.0,Adventure,0.0,0.0,0.06,0.0,,,
Bust-A-Move,3DO,1994.0,Puzzle,0.0,0.0,0.02,0.0,,,
Sotsugyou II: Neo Generation Special,3DO,1995.0,Simulation,0.0,0.0,0.02,0.0,,,
Angry Birds Star Wars,3DS,2013.0,Strategy,0.15,0.15,0.0,0.03,,3,E
Skylanders Giants,3DS,2012.0,Action,0.12,0.01,0.0,0.01,59.0,5,E10+
Driver: Renegade,3DS,2011.0,Racing,0.05,0.04,0.0,0.01,48.0,5,M
Captain America: Super Soldier,3DS,2011.0,Action,0.05,0.02,0.0,0.01,51.0,5,T
Cooking Mama 4: Kitchen Magic!,3DS,2011.0,Simulation,0.5,0.07,0.0,0.05,56.0,6,E
Hometown Story,3DS,2013.0,Role-Playing,0.23,0.12,0.04,0.04,47.0,6,E10+
Need for Speed: The Run,3DS,2011.0,Action,0.09,0.09,0.0,0.02,65.0,6,E10+
SpongeBob SquigglePants 3D,3DS,2011.0,Misc,0.13,0.05,0.0,0.02,64.0,6,E
Final Fantasy Explorers,3DS,2014.0,Role-Playing,0.16,0.07,0.28,0.02,69.0,7,E10+
Style Savvy: Trendsetters,3DS,2012.0,Simulation,0.16,0.02,0.53,0.01,76.0,8,E
The Legend of Zelda: Majora's Mask 3D,3DS,2015.0,Action,1.15,0.55,0.47,0.17,89.0,9,E10+
Phoenix Wright: Ace Attorney Trilogy,3DS,2014.0,Adventure,0.0,0.0,0.02,0.0,81.0,9,T
Metroid Prime: Federation Force,3DS,2016.0,Action,0.02,0.01,0.01,0.0,64.0,5.1,T
Yoshi's New Island,3DS,2014.0,Platform,0.48,0.53,0.28,0.09,64.0,6.1,E
LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action,0.61,0.43,0.0,0.09,67.0,6.1,E10+
Spirit Camera: The Cursed Memoir,3DS,2012.0,Adventure,0.13,0.02,0.06,0.01,54.0,6.1,T
Doctor Lautrec and the Forgotten Knights,3DS,2011.0,Adventure,0.07,0.05,0.03,0.01,53.0,6.1,E10+
BlazBlue: Continuum Shift II,3DS,2011.0,Fighting,0.05,0.01,0.04,0.01,64.0,6.1,T
Samurai Warriors Chronicles 3,3DS,2014.0,Action,0.0,0.0,0.08,0.0,63.0,6.1,T
Pokemon Rumble Blast,3DS,2011.0,Action,0.47,0.26,0.35,0.07,56.0,7.1,E10+
The Legend of Legacy,3DS,2015.0,Role-Playing,0.12,0.01,0.1,0.02,67.0,7.1,E10+
Mega Man Legacy Collection,3DS,2016.0,Platform,0.14,0.0,0.05,0.02,77.0,7.1,E
LEGO Marvel's Avengers,3DS,2016.0,Action,0.07,0.09,0.01,0.01,60.0,7.1,E10+
Terraria,3DS,2016.0,Action,0.0,0.04,0.05,0.0,71.0,7.1,T
Young Justice: Legacy,3DS,2013.0,Action,0.03,0.0,0.0,0.0,,7.1,E10+
Super Street Fighter IV: 3D Edition,3DS,2011.0,Fighting,0.55,0.44,0.14,0.09,85.0,8.1,T
Persona Q: Shadow of the Labyrinth,3DS,2014.0,Role-Playing,0.34,0.07,0.27,0.04,83.0,8.1,M
Rune Factory 4,3DS,2012.0,Role-Playing,0.32,0.0,0.21,0.03,78.0,8.1,E10+
Fire Emblem: Awakening,3DS,2012.0,Role-Playing,0.9,0.45,0.54,0.13,92.0,9.1,T
Thor: God of Thunder,3DS,2011.0,Action,0.06,0.03,0.0,0.01,55.0,4.2,T
The Hidden,3DS,,Adventure,0.08,0.0,0.0,0.01,,4.2,E10+
LEGO Marvel Super Heroes,3DS,2013.0,Action,0.42,0.36,0.04,0.07,61.0,5.2,E10+
LEGO Batman 2: DC Super Heroes,3DS,2012.0,Action,0.41,0.28,0.0,0.06,72.0,5.2,E10+
Turbo: Super Stunt Squad,3DS,2013.0,Sports,0.0,0.01,0.0,0.0,,5.2,E
Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013.0,Puzzle,0.09,0.0,0.0,0.01,68.0,6.2,E10+
New Super Mario Bros. 2,3DS,2012.0,Platform,3.66,3.14,2.47,0.63,78.0,7.2,E
LEGO Jurassic World,3DS,2015.0,Action,0.31,0.23,0.03,0.05,,7.2,E10+
Ridge Racer 3D,3DS,2011.0,Racing,0.19,0.15,0.12,0.03,75.0,7.2,E
Mario Kart 7,3DS,2011.0,Racing,05.03,04.02,2.69,0.91,85.0,8.2,E
Kingdom Hearts 3D: Dream Drop Distance,3DS,2012.0,Action,0.88,0.26,0.34,0.1,75.0,8.2,E10+
Star Fox 64 3D,3DS,2011.0,Shooter,0.48,0.27,0.13,0.06,81.0,8.2,E10+
Harvest Moon 3D: A New Beginning,3DS,2012.0,Action,0.41,0.17,0.3,0.05,74.0,8.2,E
Mario Golf: World Tour,3DS,2014.0,Sports,0.15,0.13,0.17,0.03,78.0,8.2,E
Dead or Alive: Dimensions,3DS,2011.0,Fighting,0.13,0.21,0.07,0.03,79.0,8.2,T
Story of Seasons,3DS,2014.0,Simulation,0.0,0.14,0.27,0.01,76.0,8.2,E10+
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011.0,Role-Playing,0.28,0.01,0.06,0.03,78.0,8.2,T
Theatrhythm Final Fantasy: Curtain Call,3DS,2014.0,Misc,0.13,0.08,0.15,0.02,83.0,8.2,T
Etrian Odyssey Untold: The Millennium Girl,3DS,2013.0,Role-Playing,0.1,0.01,0.14,0.01,80.0,8.2,T
7th Dragon III Code: VFD,3DS,2015.0,Role-Playing,0.04,0.0,0.12,0.0,77.0,8.2,T
Shovel Knight,3DS,2015.0,Platform,0.08,0.04,0.02,0.01,90.0,8.2,E
The Sims 3,3DS,2011.0,Simulation,0.3,0.37,0.03,0.07,52.0,3.3,T
Disney's Planes,3DS,2013.0,Simulation,0.04,0.03,0.0,0.01,,4.3,E
Madden NFL Football,3DS,2011.0,Sports,0.36,0.01,0.0,0.03,49.0,5.3,E
Combat of Giants: Dinosaurs 3D,3DS,2011.0,Strategy,0.25,0.06,0.05,0.03,44.0,5.3,E10+
Mahjong Cub3D,3DS,2011.0,Puzzle,0.07,0.0,0.02,0.0,67.0,5.3,E
Mario Party: Island Tour,3DS,2013.0,Misc,0.62,0.64,0.55,0.11,57.0,6.3,E
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012.0,Role-Playing,0.44,0.29,0.47,0.07,59.0,6.3,E
Steel Diver,3DS,2011.0,Action,0.31,0.09,0.05,0.03,58.0,6.3,E10+
Sonic Boom: Shattered Crystal,3DS,2014.0,Action,0.17,0.09,0.0,0.03,47.0,6.3,E
Rayman Origins,3DS,2012.0,Platform,0.06,0.08,0.0,0.01,71.0,6.3,E10+
Dream Trigger 3D,3DS,,Shooter,0.04,0.02,0.0,0.01,54.0,6.3,E
Horses 3D,3DS,2012.0,Misc,0.04,0.0,0.0,0.0,,6.3,E
Beyblade Evolution,3DS,2013.0,Action,0.02,0.01,0.0,0.0,49.0,6.3,E
Heavy Fire: The Chosen Few 3D,3DS,2011.0,Shooter,0.02,0.0,0.0,0.0,,6.3,T
LEGO Pirates of the Caribbean: The Video Game,3DS,2011.0,Action,0.29,0.27,0.0,0.06,71.0,7.3,E10+
Project X Zone,3DS,2012.0,Role-Playing,0.18,0.04,0.15,0.02,70.0,7.3,T
One Piece Unlimited Cruise SP,3DS,2011.0,Action,0.0,0.0,0.3,0.0,46.0,7.3,
Shinobi,3DS,2011.0,Platform,0.14,0.07,0.0,0.02,69.0,7.3,T
Pinball Hall of Fame: The Williams Collection,3DS,2011.0,Misc,0.09,0.0,0.0,0.01,67.0,7.3,E10+
Shin Megami Tensei IV,3DS,2013.0,Role-Playing,0.28,0.0,0.27,0.03,83.0,8.3,M
LEGO Friends,3DS,2013.0,Action,0.0,0.04,0.0,0.0,43.0,8.3,E
FIFA 15,3DS,2014.0,Sports,0.09,0.34,0.0,0.03,,2.4,E
Tenkai Knights: Brave Battle,3DS,2014.0,Action,0.01,0.01,0.0,0.0,26.0,2.4,E10+
Skylanders: Trap Team,3DS,2014.0,Action,0.16,0.1,0.0,0.02,,3.4,E10+
Asphalt 3D,3DS,2011.0,Racing,0.27,0.16,0.02,0.04,43.0,4.4,E10+
The LEGO Movie Videogame,3DS,2014.0,Action,0.28,0.31,0.05,0.05,,5.4,E10+
Naruto: Powerful Shippuden,3DS,2012.0,Platform,0.08,0.02,0.04,0.01,71.0,5.4,E10+
Pac-Man Party 3D,3DS,2011.0,Misc,0.09,0.04,0.0,0.01,43.0,5.4,E
Resident Evil: The Mercenaries 3D,3DS,2011.0,Action,0.16,0.16,0.13,0.03,65.0,6.4,M
Lego Batman 3: Beyond Gotham,3DS,2014.0,Action,0.21,0.2,0.0,0.04,,6.4,E10+
Skylanders SWAP Force,3DS,2013.0,Platform,0.1,0.12,0.0,0.02,68.0,6.4,E10+
Spider-Man: Edge of Time,3DS,2011.0,Action,0.08,0.03,0.0,0.01,50.0,6.4,T
Pokemon Rumble World,3DS,2015.0,Action,0.0,0.01,0.08,0.0,58.0,6.4,E10+
PilotWings Resort,3DS,2011.0,Simulation,0.4,0.36,0.13,0.07,71.0,7.4,E
Scribblenauts: Unlimited,3DS,2012.0,Action,0.56,0.01,0.0,0.05,73.0,7.4,E10+
Bravely Second: End Layer,3DS,2015.0,Role-Playing,0.17,0.1,0.18,0.03,81.0,7.4,T
WWE All Stars,3DS,2011.0,Fighting,0.15,0.06,0.0,0.02,71.0,7.4,T
Heroes of Ruin,3DS,2012.0,Role-Playing,0.13,0.07,0.0,0.02,69.0,7.4,T
Crush3D,3DS,2012.0,Platform,0.07,0.04,0.0,0.01,71.0,7.4,E10+
Gabrielle's Ghostly Groove 3D,3DS,2011.0,Adventure,0.08,0.02,0.0,0.01,62.0,7.4,E
Harvest Moon: Skytree Village,3DS,2016.0,Simulation,0.02,0.0,0.0,0.0,,7.4,E
Super Mario 3D Land,3DS,2011.0,Platform,4.89,3.0,2.14,0.78,90.0,8.4,E
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,1.8,1.39,1.11,0.29,86.0,8.4,E
Azure Striker Gunvolt,3DS,2016.0,Action,0.01,0.0,0.0,0.0,77.0,8.4,E10+
Attack on Titan: Humanity in Chains,3DS,2013.0,Action,0.0,0.0,0.42,0.0,46.0,4.5,M
Super Monkey Ball 3D,3DS,2011.0,Action,0.26,0.15,0.05,0.04,55.0,5.5,E
Tom Clancy's Splinter Cell 3D,3DS,2011.0,Action,0.14,0.07,0.07,0.02,53.0,5.5,T
Frogger 3D,3DS,2011.0,Action,0.16,0.03,0.0,0.01,54.0,5.5,E
Sonic Lost World,3DS,2013.0,Platform,0.24,0.14,0.07,0.03,59.0,6.5,E10+
LEGO Harry Potter: Years 5-7,3DS,,Action,0.18,0.19,0.0,0.03,71.0,6.5,E10+
Disney Magical World,3DS,2013.0,Adventure,0.17,0.2,0.53,0.03,71.0,7.5,E
Mario vs. Donkey Kong: Tipping Stars,3DS,2015.0,Puzzle,0.0,0.0,0.06,0.0,70.0,7.5,E
Resident Evil: Revelations,3DS,2012.0,Action,0.3,0.22,0.3,0.05,82.0,8.5,M
Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012.0,Puzzle,0.2,0.26,0.3,0.04,79.0,8.5,T
Hatsune Miku: Project Mirai DX,3DS,2015.0,Misc,0.16,0.04,0.1,0.02,80.0,8.5,E10+
Zero Escape: Zero Time Dilemma,3DS,2016.0,Adventure,0.05,0.0,0.02,0.01,81.0,8.5,M
Shantae and the Pirate's Curse,3DS,2015.0,Platform,0.01,0.0,0.03,0.0,82.0,8.5,E10+
LEGO Legends of Chima: Laval's Journey,3DS,2013.0,Adventure,0.18,0.1,0.0,0.03,65.0,3.6,E10+
Angry Birds Trilogy,3DS,2012.0,Action,0.38,0.2,0.0,0.05,62.0,4.6,E
Paper Mario: Sticker Star,3DS,2012.0,Role-Playing,1.12,0.41,0.64,0.14,75.0,5.6,E
Adventure Time: The Secret of the Nameless Kingdom,3DS,2014.0,Action,0.0,0.07,0.0,0.0,65.0,5.6,E10+
Rodea the Sky Soldier,3DS,2015.0,Action,0.03,0.0,0.0,0.0,45.0,5.6,E10+
Rayman 3D,3DS,2011.0,Platform,0.23,0.35,0.0,0.06,61.0,6.6,E
Dragon Ball Z: Extreme Butoden,3DS,2015.0,Fighting,0.12,0.03,0.16,0.02,61.0,6.6,T
James Noir's Hollywood Crimes,3DS,2011.0,Adventure,0.07,0.07,0.0,0.01,60.0,6.6,T
The Legend of Zelda: Tri Force Heroes,3DS,2015.0,Action,0.53,0.33,0.17,0.08,73.0,7.6,E
Tales of the Abyss,3DS,2011.0,Role-Playing,0.43,0.19,0.14,0.06,75.0,7.6,T
Art Academy: Lessons for Everyone,3DS,2012.0,Action,0.2,0.04,0.21,0.02,81.0,7.6,E
LEGO The Lord of the Rings,3DS,2012.0,Action,0.2,0.16,0.0,0.03,61.0,7.6,E10+
One Piece: Unlimited World Red,3DS,2013.0,Action,0.05,0.04,0.28,0.01,75.0,7.6,T
Ultimate NES Remix,3DS,2014.0,Action,0.15,0.09,0.0,0.02,69.0,7.6,E
Dragon Ball: Fusions,3DS,2016.0,Role-Playing,0.02,0.0,0.19,0.0,68.0,7.6,T
Code of Princess,3DS,2012.0,Action,0.16,0.0,0.03,0.01,67.0,7.6,T
Ben 10 Omniverse 2,3DS,2013.0,Action,0.0,0.02,0.0,0.0,,7.6,E10+
Fantasy Life,3DS,2012.0,Role-Playing,0.33,0.37,0.37,0.06,73.0,8.6,E10+
FIFA Soccer 13,3DS,2012.0,Action,0.06,0.2,0.0,0.03,68.0,3.7,E
The Adventures of Tintin: The Game,3DS,2011.0,Action,0.05,0.09,0.0,0.02,56.0,5.7,E10+
Pro Evolution Soccer 2011 3D,3DS,2011.0,Sports,0.11,0.13,0.11,0.02,73.0,6.7,E
Pokemon Art Academy,3DS,2014.0,Misc,0.18,0.12,0.16,0.03,76.0,7.7,E
Samurai Warriors Chronicles,3DS,2011.0,Action,0.12,0.05,0.2,0.01,61.0,7.7,T
Code Name: S.T.E.A.M.,3DS,2015.0,Strategy,0.14,0.05,0.01,0.02,69.0,7.7,T
Cave Story 3D,3DS,2011.0,Platform,0.09,0.03,0.01,0.01,82.0,7.7,E10+
Conception II: Children of the Seven Stars,3DS,2013.0,Role-Playing,0.09,0.0,0.03,0.01,62.0,7.7,M
Nano Assault,3DS,2011.0,Shooter,0.08,0.0,0.0,0.01,75.0,7.7,E10+
Yumi's Odd Odyssey,3DS,2013.0,Platform,0.0,0.0,0.03,0.0,74.0,7.7,E
Animal Crossing: New Leaf,3DS,2012.0,Simulation,02.03,2.36,4.39,0.39,88.0,8.7,E
Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,0.68,0.48,2.62,0.11,86.0,8.7,T
Kid Icarus: Uprising,3DS,2012.0,Action,0.48,0.35,0.36,0.07,83.0,8.7,E10+
Kirby: Planet Robobot,3DS,2016.0,Action,0.28,0.14,0.47,0.04,81.0,8.7,E
Stella Glow,3DS,2015.0,Role-Playing,0.16,0.01,0.05,0.02,79.0,8.7,T
Fossil Fighters: Frontier,3DS,2014.0,Role-Playing,0.08,0.04,0.23,0.01,57.0,4.8,E10+
Bust-A-Move Universe,3DS,2011.0,Puzzle,0.08,0.15,0.06,0.03,49.0,4.8,E
Gravity Falls: Legend of the Gnome Gemulets,3DS,2015.0,Action,0.03,0.0,0.0,0.0,46.0,5.8,E
Tetris Axis,3DS,2011.0,Puzzle,0.2,0.13,0.06,0.03,74.0,6.8,E
Mario Party: Star Rush,3DS,2016.0,Misc,0.08,0.13,0.08,0.02,68.0,6.8,E
Batman: Arkham Origins Blackgate,3DS,2013.0,Action,0.16,0.09,0.0,0.02,68.0,6.8,T
Senran Kagura 2: Deep Crimson,3DS,2014.0,Action,0.1,0.02,0.08,0.01,58.0,6.8,M
F1 2011,3DS,2011.0,Racing,0.07,0.08,0.0,0.02,59.0,6.8,E
Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015.0,Simulation,0.05,0.0,0.1,0.01,72.0,6.8,E10+
Disney Art Academy,3DS,2016.0,Action,0.02,0.01,0.08,0.0,72.0,6.8,E
Theatrhythm: Final Fantasy,3DS,2012.0,Misc,0.22,0.07,0.18,0.02,78.0,7.8,E10+
Metal Gear Solid: Snake Eater 3D,3DS,2012.0,Action,0.15,0.11,0.1,0.02,78.0,7.8,M
Ace Combat: Assault Horizon Legacy,3DS,2011.0,Simulation,0.1,0.06,0.08,0.01,71.0,7.8,T
BIT.TRIP SAGA,3DS,2011.0,Misc,0.09,0.04,0.0,0.01,75.0,7.8,E
Lego Star Wars: The Force Awakens,3DS,2016.0,Action,0.04,0.07,0.01,0.01,,7.8,E10+
Lord of Magna: Maiden Heaven,3DS,2014.0,Role-Playing,0.0,0.0,0.06,0.0,68.0,7.8,T
Unchained Blades,3DS,2011.0,Role-Playing,0.0,0.0,0.04,0.0,65.0,7.8,T
Kirby: Triple Deluxe,3DS,2014.0,Platform,0.61,0.34,0.79,0.09,80.0,8.8,E
Pokemon Super Mystery Dungeon,3DS,2015.0,Role-Playing,0.48,0.35,0.34,0.08,69.0,8.8,E
Zero Escape: Virtue's Last Reward,3DS,2012.0,Adventure,0.03,0.0,0.0,0.0,88.0,8.8,M
The Peanuts Movie: Snoopy's Grand Adventure,3DS,2015.0,Action,0.0,0.03,0.0,0.0,,8.8,E
Green Lantern: Rise of the Manhunters,3DS,2011.0,Action,0.09,0.03,0.0,0.01,42.0,3.9,E10+
Skylanders: Spyro's Adventure,3DS,2011.0,Action,0.32,0.2,0.0,0.05,82.0,4.9,E10+
